,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
10907,12966047,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.179,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,2021-08-05,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,7651,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/7651,0x55f8d5c4fdc0bc3d1582519d8ae2d56b3179f17cfe64417c951bff077d09bbdd,1.0,1.0,PENGUIN14,penguin
25108,12964964,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.17,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,2021-08-05,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,5152,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/5152,0xc39fdb83dcb2f28e1c5786b96c65a35aba4898931e4a755a757c7b203a2182c9,4.0,4.0,PENGUIN16,penguin
16490,12969788,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.22,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,2021-08-06,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,6847,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/6847,0x80c1a912316cf6a66e16d8a059f9e508589167f3fe5545424afa04fad01408e6,1.0,1.0,PENGUIN16,penguin
25270,12972217,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.2499,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,2021-08-06,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,7611,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/7611,0xc4ed7b59a8d00d95e7fb15aaacae6039aeaabc34dbc6ece0e77c4b24eecd2768,3.0,3.0,PENGUIN16,penguin
5223,12969794,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.22,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,2021-08-06,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,4574,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/4574,0x291a29bd0d12950cb99d668c02c72d00b152dda67b39e04208ae2594fcb41355,1.0,1.0,PENGUIN17,penguin
25108,12964964,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.17,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,2021-08-05,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,5152,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/5152,0xc39fdb83dcb2f28e1c5786b96c65a35aba4898931e4a755a757c7b203a2182c9,4.0,4.0,PENGUIN17,penguin
25270,12972217,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.2499,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,2021-08-06,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,7611,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/7611,0xc4ed7b59a8d00d95e7fb15aaacae6039aeaabc34dbc6ece0e77c4b24eecd2768,3.0,3.0,PENGUIN17,penguin
18711,12979352,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.24,0x52f67902e201e8d64a7431cd86710ba9cc7dcea3,2021-08-07,0xc6cf0dbfde77ba8e63a5097d0cf0f92fafa938e7,8321,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/8321,0x919420b36a2143b4fd61547e93fb64b7477446801007051f146fba355339d5d3,3.0,3.0,PENGUIN19,penguin
31365,12979461,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.299,0xc6cf0dbfde77ba8e63a5097d0cf0f92fafa938e7,2021-08-07,0x52f67902e201e8d64a7431cd86710ba9cc7dcea3,1701,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/1701,0xf4cc76e3d08adcf99d01c8f0a0b6c33fe6b665bdc2c77da8683f9971ccaa70fa,10.0,10.0,PENGUIN19,penguin
22578,12997916,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,1.27,0x7ec8343e808b15bf3e93bb1ba88b3a36d126e98f,2021-08-10,0x00a8bec03805bcfaafab1050dbcf90f57982d750,6028,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/6028,0xafa86138455535255c2aaa820153a6b4a05c625ed48af21f25c7fce608454b53,4.0,4.0,PENGUIN2,penguin
