,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
4829,13799681,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,12.5,0xdef3d987131791b2712297f17654da42fd63f6b0,2021-12-13,0xdc133816529cb58177d9bc8b55e4b523673b84fb,629,https://clonex-assets.rtfkt.com/629,0x4f960ac587b8dda1dc29f8bc6d83f807c42ebf10eabd8cae3710a4d906f044cb,1.0,1.0,CLONEX3,clonex
7226,13804023,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,12.5,0xdc133816529cb58177d9bc8b55e4b523673b84fb,2021-12-14,0xdef3d987131791b2712297f17654da42fd63f6b0,1594,https://clonex-assets.rtfkt.com/1594,0x76d9b36f85c0ea26bd13a268bf70e79bbb5e3d1030df2b9d7e7cf1d96bdbde49,4.0,4.0,CLONEX3,clonex
3075,13801647,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,5.99,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,2021-12-14,0x735ed02655bca15ec46491c0de4946591135459b,2692,https://clonex-assets.rtfkt.com/2692,0x3306a4ed083403542f116d78d4e73a0311b71bdb9e7d2431217da10a2da9c96f,2.0,2.0,CLONEX5,clonex
6341,13793954,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,7.5,0xf224837e13b1a745574ef68a73427b0063f266f1,2021-12-13,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,5158,https://clonex-assets.rtfkt.com/5158,0x688139674085175aa8381cebb7492e324948172745861826b52a795deb176607,2.0,2.0,CLONEX5,clonex
11984,13793452,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,3.0,0x735ed02655bca15ec46491c0de4946591135459b,2021-12-12,0xf224837e13b1a745574ef68a73427b0063f266f1,9391,https://clonex-assets.rtfkt.com/9391,0xc31600accbd05dddaaaedeab31c31330a1765ff78908ec0fa283e860cb113532,3.0,3.0,CLONEX5,clonex
