,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
15970,13237225,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,1.9,0x324adbe2951592fd8d792542ab5431f4b8f7dcad,2021-09-16,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2658,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/2658,0xc8324288419e00bb2ac1e886a223579f8b3410588df5cf23549f782d9107af8c,4.0,4.0,CRYPTOAD118,cryptoad
10447,13355920,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,14.5,0x009988ff77eeaa00051238ee32c48f10a174933e,2021-10-05,0x8f8b4759dc93ca55bd6997df719f20f581f10f5c,4516,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4516,0x82c04d07b3045a676baaff08e2d2cc67081008c0bb82214e7ffee458823c8093,2.0,2.0,CRYPTOAD12,cryptoad
5569,13357230,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,18.0,0x8f8b4759dc93ca55bd6997df719f20f581f10f5c,2021-10-05,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,6649,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/6649,0x45e97267d56365b3228505ac3370835488cac49f70dbde26d924b6d033998a63,1.0,1.0,CRYPTOAD12,cryptoad
15152,13323339,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,4.24,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2021-09-29,0x009988ff77eeaa00051238ee32c48f10a174933e,5138,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5138,0xbdc381f422b9d4f46b5e29e2571c184629d4b4ad48a6b45e4d745f84e50cb9a2,7.0,7.0,CRYPTOAD12,cryptoad
10008,13195606,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.78,0xe1e7ba7f42a262069b8f296be7cbf9bff96f4ad8,2021-09-10,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,3743,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/3743,0x7d5a591f871cdfb2428ff0945f9d86fe2729e23a0ccca7f8358526d7ea4c4f7e,8.0,8.0,CRYPTOAD121,cryptoad
14848,13226129,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,1.22,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,2021-09-14,0xe1e7ba7f42a262069b8f296be7cbf9bff96f4ad8,6638,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/6638,0xb9b9d1c641ded8ad69e4dba1c19f80a34062980d37affaf9a0010c43f4587f18,5.0,5.0,CRYPTOAD121,cryptoad
11510,13225677,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.9696,0xe38a5feb6e03dbff794b2caee9d2871f452b7c88,2021-09-14,0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,5149,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5149,0x900c1377154e1fa4234b92497011868a47c65b3655ca084eadb34ce56ad019b6,3.0,3.0,CRYPTOAD125,cryptoad
10130,13199604,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.729,0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,2021-09-10,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,6013,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/6013,0x7ece623927f61efe579567c87b89f3e97f9c21a14a18bdd2ceb281bececb43c4,4.0,4.0,CRYPTOAD125,cryptoad
6418,13191985,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.85,0xe38a5feb6e03dbff794b2caee9d2871f452b7c88,2021-09-09,0xf7253a0e87e39d2cd6365919d4a3d56d431d0041,179,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/179,0x50b8aceb6eaeda3a2dcb43b25b5e1f3e6bb354ca05c95673900d3272ae054902,2.0,2.0,CRYPTOAD126,cryptoad
7396,13189150,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0.7,0xf7253a0e87e39d2cd6365919d4a3d56d431d0041,2021-09-09,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,3851,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/3851,0x5c7977d0c29da93a7658281450da62291111660f5defb00dc9dfc4afe62f212d,2.0,2.0,CRYPTOAD126,cryptoad
