,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
3001,12760031,0x1A92f7381B9F03921564a437210bB9396471050C,0.23,0xa958e6e90f570ca0293a01cdbbb6997de5848850,2021-07-04,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,4936,https://api.coolcatsnft.com/cat/4936,0x1b7e1eb61f30c7f9921dc2dccf40e7e3f7b98c6586574ac1730f920ed3c133ba,1.0,1.0,COOLCAT137,coolcat
3001,12760031,0x1A92f7381B9F03921564a437210bB9396471050C,0.23,0xa958e6e90f570ca0293a01cdbbb6997de5848850,2021-07-04,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,4936,https://api.coolcatsnft.com/cat/4936,0x1b7e1eb61f30c7f9921dc2dccf40e7e3f7b98c6586574ac1730f920ed3c133ba,1.0,1.0,COOLCAT138,coolcat
18974,12746118,0x1A92f7381B9F03921564a437210bB9396471050C,0.03,0x735ed02655bca15ec46491c0de4946591135459b,2021-07-02,0xa958e6e90f570ca0293a01cdbbb6997de5848850,1132,https://api.coolcatsnft.com/cat/1132,0xae97b1efe5f31360640c39a958ec6b787d36322f4c576cebaca16426797fb3ac,1.0,1.0,COOLCAT138,coolcat
3001,12760031,0x1A92f7381B9F03921564a437210bB9396471050C,0.23,0xa958e6e90f570ca0293a01cdbbb6997de5848850,2021-07-04,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,4936,https://api.coolcatsnft.com/cat/4936,0x1b7e1eb61f30c7f9921dc2dccf40e7e3f7b98c6586574ac1730f920ed3c133ba,1.0,1.0,COOLCAT139,coolcat
16190,12751460,0x1A92f7381B9F03921564a437210bB9396471050C,0.022,0x735ed02655bca15ec46491c0de4946591135459b,2021-07-03,0xa958e6e90f570ca0293a01cdbbb6997de5848850,1135,https://api.coolcatsnft.com/cat/1135,0x947d1c2e4f5d6b00efe60bc8ece15173e98c0aad02f4e38950cddd1afeb0e26d,1.0,1.0,COOLCAT139,coolcat
278,12759117,0x1A92f7381B9F03921564a437210bB9396471050C,0.029,0x6d5a7d96d86e6d93ecdf180624fd89f93f988ddd,2021-07-04,0xf05155f792819710da259c103d30e4b70178ea9f,1202,https://api.coolcatsnft.com/cat/1202,0x025d1a949c6aa09fc02bc5995ab58f39b2dac9dba70b49173fc662555b5b9744,1.0,1.0,COOLCAT14,coolcat
7688,12761410,0x1A92f7381B9F03921564a437210bB9396471050C,0.2,0xf7e20ed715a0d83f89130796c44c3d36c724a0c4,2021-07-04,0x6d5a7d96d86e6d93ecdf180624fd89f93f988ddd,9404,https://api.coolcatsnft.com/cat/9404,0x467b5a43a78ed1c074849b97e83e7fadbffc4817d1c602229457e4c424524b8c,2.0,2.0,COOLCAT14,coolcat
3001,12760031,0x1A92f7381B9F03921564a437210bB9396471050C,0.23,0xa958e6e90f570ca0293a01cdbbb6997de5848850,2021-07-04,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,4936,https://api.coolcatsnft.com/cat/4936,0x1b7e1eb61f30c7f9921dc2dccf40e7e3f7b98c6586574ac1730f920ed3c133ba,1.0,1.0,COOLCAT140,coolcat
897,12758748,0x1A92f7381B9F03921564a437210bB9396471050C,0.025,0x735ed02655bca15ec46491c0de4946591135459b,2021-07-04,0xa958e6e90f570ca0293a01cdbbb6997de5848850,1175,https://api.coolcatsnft.com/cat/1175,0x0839aa413160a4d55ba4361168bb3f1646b1add758c8a9a69cbe1a36d12d62f2,1.0,1.0,COOLCAT140,coolcat
3001,12760031,0x1A92f7381B9F03921564a437210bB9396471050C,0.23,0xa958e6e90f570ca0293a01cdbbb6997de5848850,2021-07-04,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,4936,https://api.coolcatsnft.com/cat/4936,0x1b7e1eb61f30c7f9921dc2dccf40e7e3f7b98c6586574ac1730f920ed3c133ba,1.0,1.0,COOLCAT141,coolcat
6238,12758647,0x1A92f7381B9F03921564a437210bB9396471050C,0.025,0x735ed02655bca15ec46491c0de4946591135459b,2021-07-04,0xa958e6e90f570ca0293a01cdbbb6997de5848850,1118,https://api.coolcatsnft.com/cat/1118,0x38ab5c0d838f2614b152b5c2638863d2bae5daee2955c30b1fb3a1dffbcb3ac8,1.0,1.0,COOLCAT141,coolcat
24953,12750764,0x1A92f7381B9F03921564a437210bB9396471050C,0.0295,0x2b977c3c7e18f9df4a6769203f8f81d95b8baff0,2021-07-02,0x4e74369c65a4f8d22f1f8505da98197f4cc1765f,9151,https://api.coolcatsnft.com/cat/9151,0xe61ef218ab657288c06d12eb2d979a783e99e90398e7ac72b306b734f69cbc9f,5.0,5.0,COOLCAT145,coolcat
5475,12757984,0x1A92f7381B9F03921564a437210bB9396471050C,0.049,0x4e74369c65a4f8d22f1f8505da98197f4cc1765f,2021-07-04,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,9151,https://api.coolcatsnft.com/cat/9151,0x319c7b6591e861c2a9f700e02bfa48bd11e2edae842dcf3ba897bedcefc9937b,1.0,1.0,COOLCAT145,coolcat
12993,12762120,0x1A92f7381B9F03921564a437210bB9396471050C,0.21,0xf05155f792819710da259c103d30e4b70178ea9f,2021-07-04,0x59f1875986a5eac58bf4959789fd5a3a3cb36c6e,9578,https://api.coolcatsnft.com/cat/9578,0x7724ffae7028d9842a4d974975fc459fad6d991f60dde566b8b7ed99265014fa,3.0,3.0,COOLCAT148,coolcat
9972,12783843,0x1A92f7381B9F03921564a437210bB9396471050C,0.375,0x59f1875986a5eac58bf4959789fd5a3a3cb36c6e,2021-07-08,0xbc9947c8b019f57014f6b9cebe8571d7ace1d2ca,2577,https://api.coolcatsnft.com/cat/2577,0x5b504ca79eb77ae5ebd170c94f458e8c6e9437dd1882772a052faf0adbcc03d5,5.0,5.0,COOLCAT148,coolcat
24260,12777777,0x1A92f7381B9F03921564a437210bB9396471050C,0.1479,0xbc9947c8b019f57014f6b9cebe8571d7ace1d2ca,2021-07-07,0xf05155f792819710da259c103d30e4b70178ea9f,533,https://api.coolcatsnft.com/cat/533,0xdfda6d62a851e83beec6bf1a1d7906104013c0c5d5008b20adf7b171188974f6,4.0,4.0,COOLCAT148,coolcat
18800,12762407,0x1A92f7381B9F03921564a437210bB9396471050C,0.15,0x6d1f97038f6537410ed50456c4a1a9a174f19282,2021-07-04,0x59f1875986a5eac58bf4959789fd5a3a3cb36c6e,435,https://api.coolcatsnft.com/cat/435,0xacdf8ec793cc60ff3f1c6efb92162c83df04d9435ba3b740b83795b6a16cfa51,7.0,7.0,COOLCAT149,coolcat
20888,12771905,0x1A92f7381B9F03921564a437210bB9396471050C,0.19,0x59f1875986a5eac58bf4959789fd5a3a3cb36c6e,2021-07-06,0x668e961736454a2444adb485340cb7f0844ddd3d,7983,https://api.coolcatsnft.com/cat/7983,0xc01496a4188e92dff155d1dab7077ebad0734cbbc8caab1bd677617dd78d8912,4.0,4.0,COOLCAT149,coolcat
