,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
1030,13582390,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,1.5,0x429f13e4ec5e57c9ae2388c5020e372f73fe168a,2021-11-09,0xea15d37633029eb73d17633488ab0b26a94c0cc6,7349,ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/7349,0x0cd17af27dca8ddc3fc7d28129f8382babf929b1c00d6eeca04ce3ca867fd171,1.0,1.0,DOODLE1,doodle
20189,13573785,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,1.35,0xea15d37633029eb73d17633488ab0b26a94c0cc6,2021-11-08,0x429f13e4ec5e57c9ae2388c5020e372f73fe168a,7349,ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/7349,0xef382f657ec32921f4682df67ae34d20f9d27ebc63eb29cd2b84e303fe94cfb3,5.0,5.0,DOODLE1,doodle
14792,13640786,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,3.1,0x594d2234c6839eb4d18fd69b946acba045e37332,2021-11-18,0x16205a6048b6af17f1ac1a009bbf2ed9289e6921,2934,ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/2934,0xaf795d91f1a8ad378ea020e09ec0047fc5a1e7ffefbd877fc052aa1c58d400c9,4.0,4.0,DOODLE3,doodle
16495,13634020,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,2.93,0x16205a6048b6af17f1ac1a009bbf2ed9289e6921,2021-11-17,0x594d2234c6839eb4d18fd69b946acba045e37332,2934,ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/2934,0xc2eb470061533f2035276f61dbabd87d4b1d2500661f0a9ab2a1e6ba63a597a6,6.0,6.0,DOODLE3,doodle
