,loopid,fromaddress,toaddress,tokenid,ethprice,date,transhash
569,PUNK1130,0xc35A5FEc6BE6957899E15559Be252Db882220b37,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2342,20.4,2021-02-21,0x1ebf0e3d03dbdff1a11f1e09f84665857a2e9dd7c7c49f365244a3d8d5b5c9db
570,PUNK1130,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,9.99,2021-02-17,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e
571,PUNK1130,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,0xc35A5FEc6BE6957899E15559Be252Db882220b37,6808,9.0,2021-02-14,0x442c8f8a643e2aad9d75961b3799e448aad078cf9c9cfeccce7e5613cc5b2a01
572,PUNK1131,0x84c920595cDe2841A719FE5AA8bE5166d8E7C6da,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,8479,34.0,2021-02-23,0xe5c2109b7cb9a6c71d648cc73a13efa72a5e90c4c6a578b6267f8fa78826461f
573,PUNK1131,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,9.99,2021-02-17,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e
574,PUNK1134,0x84c920595cDe2841A719FE5AA8bE5166d8E7C6da,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,3008,32.0,2021-02-24,0x687c4f1aa3ee15452a272777329c3f6bfebe22ad58e93234a63de070eb41afd7
575,PUNK1134,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,9.99,2021-02-17,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e
576,PUNK1137,0xc35A5FEc6BE6957899E15559Be252Db882220b37,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2342,20.4,2021-02-21,0x1ebf0e3d03dbdff1a11f1e09f84665857a2e9dd7c7c49f365244a3d8d5b5c9db
577,PUNK1137,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,9.99,2021-02-17,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e
578,PUNK1137,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,0xc35A5FEc6BE6957899E15559Be252Db882220b37,3763,29.0,2021-02-14,0x4d11c2593fe5e4915af3ab1c73e593e85f1e871032f2d4b8bc647e30839947eb
